,Features,Score
15,new_cases_Negeri Sembilan,1.0
16,active_case_Negeri Sembilan,0.97
4,rtk-ag,0.95
34,active_case_W.P. Kuala Lumpur,0.92
33,new_cases_W.P. Kuala Lumpur,0.89
2,cases_recovered,0.84
5,pcr,0.84
25,new_cases_Sabah,0.84
17,new_cases_Pahang,0.79
3,active_cases,0.74
36,active_case_W.P. Labuan,0.74
10,active_case_Kedah,0.74
18,active_case_Pahang,0.68
27,new_cases_Sarawak,0.66
30,active_case_Selangor,0.66
12,active_case_Kelantan,0.61
26,active_case_Sabah,0.58
9,new_cases_Kedah,0.58
13,new_cases_Melaka,0.53
23,new_cases_Pulau Pinang,0.53
14,active_case_Melaka,0.47
31,new_cases_Terengganu,0.45
38,active_case_W.P. Putrajaya,0.42
8,active_case_Johor,0.39
37,new_cases_W.P. Putrajaya,0.37
0,cases_new,0.32
1,cases_import,0.32
19,new_cases_Perak,0.32
29,new_cases_Selangor,0.26
20,active_case_Perak,0.24
35,new_cases_W.P. Labuan,0.21
28,active_case_Sarawak,0.18
32,active_case_Terengganu,0.16
7,new_cases_Johor,0.13
22,active_case_Perlis,0.11
11,new_cases_Kelantan,0.11
6,daily_positivity_rate,0.05
24,active_case_Pulau Pinang,0.03
21,new_cases_Perlis,0.0
