month,cases_new,cases_import,cases_recovered,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace
1,8,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,21,16,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2737,275,514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3236,512,3634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1817,236,2182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,820,143,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,337,142,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,364,174,410,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1884,144,913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,20324,96,11281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,34149,151,33511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,47313,175,34182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
