,Features,Score
31,new_cases_Terengganu,1.0
36,active_case_W.P. Labuan,1.0
4,rtk-ag,1.0
5,pcr,1.0
15,new_cases_Negeri Sembilan,1.0
14,active_case_Melaka,1.0
33,new_cases_W.P. Kuala Lumpur,1.0
30,active_case_Selangor,1.0
22,active_case_Perlis,1.0
11,new_cases_Kelantan,1.0
16,active_case_Negeri Sembilan,0.97
25,new_cases_Sabah,0.93
28,active_case_Sarawak,0.9
34,active_case_W.P. Kuala Lumpur,0.86
3,active_cases,0.83
35,new_cases_W.P. Labuan,0.79
9,new_cases_Kedah,0.76
29,new_cases_Selangor,0.72
12,active_case_Kelantan,0.69
13,new_cases_Melaka,0.66
19,new_cases_Perak,0.62
1,cases_import,0.59
32,active_case_Terengganu,0.55
18,active_case_Pahang,0.52
38,active_case_W.P. Putrajaya,0.48
10,active_case_Kedah,0.45
27,new_cases_Sarawak,0.41
37,new_cases_W.P. Putrajaya,0.38
2,cases_recovered,0.34
8,active_case_Johor,0.31
24,active_case_Pulau Pinang,0.28
17,new_cases_Pahang,0.24
0,cases_new,0.21
21,new_cases_Perlis,0.17
20,active_case_Perak,0.14
26,active_case_Sabah,0.1
23,new_cases_Pulau Pinang,0.07
7,new_cases_Johor,0.03
6,daily_positivity_rate,0.0
