,Features,Score
19,new_cases_Perak,1.0
14,active_case_Melaka,1.0
25,new_cases_Sabah,1.0
24,active_case_Pulau Pinang,1.0
31,new_cases_Terengganu,1.0
32,active_case_Terengganu,1.0
33,new_cases_W.P. Kuala Lumpur,1.0
20,active_case_Perak,1.0
1,cases_import,1.0
34,active_case_W.P. Kuala Lumpur,1.0
17,new_cases_Pahang,1.0
16,active_case_Negeri Sembilan,1.0
15,new_cases_Negeri Sembilan,1.0
13,new_cases_Melaka,1.0
27,new_cases_Sarawak,1.0
12,active_case_Kelantan,1.0
11,new_cases_Kelantan,1.0
10,active_case_Kedah,1.0
35,new_cases_W.P. Labuan,1.0
36,active_case_W.P. Labuan,1.0
37,new_cases_W.P. Putrajaya,1.0
6,daily_positivity_rate,1.0
5,pcr,1.0
4,rtk-ag,1.0
3,active_cases,1.0
2,cases_recovered,1.0
29,new_cases_Selangor,1.0
38,active_case_W.P. Putrajaya,0.92
8,active_case_Johor,0.83
9,new_cases_Kedah,0.75
21,new_cases_Perlis,0.67
30,active_case_Selangor,0.58
7,new_cases_Johor,0.5
23,new_cases_Pulau Pinang,0.42
26,active_case_Sabah,0.33
22,active_case_Perlis,0.25
28,active_case_Sarawak,0.17
18,active_case_Pahang,0.08
0,cases_new,0.0
